Permission,Category,admin,api_consumer,contributor,editor,employee,inventory_manager,manager,owner,sales,viewer
admin.metrics,admin,Y,,,,,,,Y,,
analytics.export,analytics,Y,,,,,,Y,Y,,
analytics.view,analytics,Y,,,,,Y,Y,Y,Y,
audit.logs,audit,Y,,,,,,Y,Y,,
audit.view,audit,Y,,,,,,,Y,,
categories.create,categories,Y,,,,,,,Y,,
categories.delete,categories,Y,,,,,,,Y,,
categories.manage,categories,Y,,,,,,,Y,,
categories.read,categories,Y,,,,,,,Y,,
categories.update,categories,Y,,,,,,,Y,,
content.create,content,Y,,Y,Y,,Y,Y,Y,,
content.delete,content,Y,,,Y,,,,Y,,
content.manage,content,Y,,,,,,,Y,,
content.publish,content,Y,,,Y,,Y,Y,Y,,
content.read,content,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
content.unpublish,content,Y,,,,,,Y,Y,,
content.update,content,Y,,Y,Y,,Y,Y,Y,,
content.type.create,content_type,Y,,,,,,,Y,,
content.type.delete,content_type,Y,,,,,,,Y,,
content.type.read,content_type,Y,,,,Y,Y,Y,Y,Y,
content.type.update,content_type,Y,,,,,,,Y,,
customers.create,customers,Y,,,,,,,Y,,
customers.delete,customers,Y,,,,,,,Y,,
customers.manage,customers,Y,,,,,,,Y,,
customers.read,customers,Y,,,,,,,Y,,
customers.update,customers,Y,,,,,,,Y,,
employees.create,employees,Y,,,,,,Y,Y,,
employees.delete,employees,Y,,,,,,,Y,,
employees.manage,employees,Y,,,,,,Y,Y,,
employees.read,employees,Y,,,,,,Y,Y,,
employees.schedule,employees,Y,,,,,,Y,Y,,
employees.self.read,employees,Y,,,,Y,,,Y,Y,
employees.self.update,employees,Y,,,,Y,,,Y,Y,
employees.stats,employees,Y,,,,,,Y,Y,,
employees.update,employees,Y,,,,,,Y,Y,,
inventory.create,inventory,Y,,,,,,,Y,,
inventory.delete,inventory,Y,,,,,,,Y,,
inventory.manage,inventory,Y,,,,,,,Y,,
inventory.read,inventory,Y,,,,,,,Y,,
inventory.reports,inventory,Y,,,,,,,Y,,
inventory.stock.adjust,inventory,Y,,,,,,,Y,,
inventory.stock.transfer,inventory,Y,,,,,,,Y,,
inventory.update,inventory,Y,,,,,,,Y,,
locale.create,locale,Y,,,,,,,Y,,
locale.delete,locale,Y,,,,,,,Y,,
locale.read,locale,Y,,,,Y,Y,Y,Y,Y,
locale.update,locale,Y,,,,,,,Y,,
media.delete,media,Y,,,Y,,,,Y,,
media.read,media,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
media.update,media,Y,,,Y,,Y,Y,Y,,
media.upload,media,Y,,,,,Y,Y,Y,,
notification.create,notification,Y,,,,,,,Y,,
notification.delete,notification,Y,,,,,,,Y,,
notification.read,notification,Y,,,,Y,Y,Y,Y,Y,
notification.view,notification,Y,,,,,,,Y,,
orders.cancel,orders,Y,,,,,,,Y,,
orders.create,orders,Y,,,,,,,Y,,
orders.manage,orders,Y,,,,,,,Y,,
orders.read,orders,Y,,,,,,,Y,,
orders.refund,orders,Y,,,,,,,Y,,
orders.update,orders,Y,,,,,,,Y,,
organization.delete,organization,,,,,,,,Y,,
organization.read,organization,Y,,,,,,,Y,,
organization.settings.manage,organization,,,,,,,,Y,,
organization.settings.view,organization,Y,,,,,,Y,Y,,
organization.update,organization,Y,,,,,,,Y,,
permission.manage,permission,Y,,,,,,,Y,,
permission.read,permission,Y,,,,,,,Y,,
pos.access,pos,Y,,,,Y,,Y,Y,Y,
pos.cash.drawer,pos,Y,,,,,,Y,Y,Y,
pos.discount,pos,Y,,,,,,Y,Y,Y,
pos.discount.manager,pos,Y,,,,,,Y,Y,,
pos.end.shift,pos,Y,,,,,,Y,Y,Y,
pos.manage,pos,Y,,,,,,,Y,,
pos.refund,pos,Y,,,,,,Y,Y,,
pos.reports,pos,Y,,,,,,Y,Y,,
pos.sell,pos,Y,,,,Y,,Y,Y,Y,
pos.void,pos,Y,,,,,,Y,Y,,
products.create,products,Y,,,,,,,Y,,
products.delete,products,Y,,,,,,,Y,,
products.manage,products,Y,,,,,,,Y,,
products.pricing,products,Y,,,,,,,Y,,
products.read,products,Y,,,,,,,Y,,
products.update,products,Y,,,,,,,Y,,
role.create,role,Y,,,,,,,Y,,
role.delete,role,Y,,,,,,,Y,,
role.manage,role,Y,,,,,,,Y,,
role.read,role,Y,,,,,,Y,Y,,
role.update,role,Y,,,,,,,Y,,
role.view,role,Y,,,,,,Y,Y,,
seo.read,seo,Y,,,,,,Y,Y,,
seo.update,seo,Y,,,,,,Y,Y,,
system.admin,system,,,,,,,,Y,,
system.settings,system,Y,,,,,,,Y,,
template.create,template,Y,,,,,,,Y,,
template.delete,template,Y,,,,,,,Y,,
template.read,template,Y,,,,,Y,Y,Y,Y,
template.update,template,Y,,,,,,,Y,,
theme.create,theme,Y,,,,,,,Y,,
theme.delete,theme,Y,,,,,,,Y,,
theme.manage,theme,Y,,,,,,,Y,,
theme.read,theme,Y,,,,,,,Y,,
theme.update,theme,Y,,,,,,,Y,,
translation.create,translation,Y,,,Y,,,Y,Y,,
translation.delete,translation,Y,,,,,,,Y,,
translation.read,translation,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
translation.update,translation,Y,,,Y,,,Y,Y,,
user.create,user,Y,,,,,,Y,Y,,
user.delete,user,Y,,,,,,,Y,,
user.manage,user,Y,,,,,,,Y,,
user.manage.full,user,,,,,,,,Y,,
user.read,user,Y,,,,,,Y,Y,,
user.update,user,Y,,,,,,Y,Y,,
webhook.create,webhook,Y,,,,,,,Y,,
webhook.delete,webhook,Y,,,,,,,Y,,
webhook.read,webhook,Y,,,,,,,Y,,
webhook.update,webhook,Y,,,,,,,Y,,
